Resultado da Query,,,,,,,
Emissão:30/10/2025 19:58:24,Total de registros:10,Usuário: 0 - SUP,,,,,
COLUMN_ID,COLUMN_NAME,DATA_TYPE,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,DATA_DEFAULT
1,NUAPO,NUMBER,"22,00","10,00","0,00",N,
2,SEQAPA,NUMBER,"22,00","5,00","0,00",N,
3,CODPRODPA,NUMBER,"22,00","10,00","0,00",N,
4,CONTROLEPA,VARCHAR2,"11,00",,,N,' '
5,QTDAPONTADA,FLOAT,"22,00","126,00",,N,0
6,QTDFAT,FLOAT,"22,00","126,00",,N,0
7,QTDFATSP,FLOAT,"22,00","126,00",,N,0
8,QTDPERDA,FLOAT,"22,00","126,00",,Y,0
9,CODMPE,NUMBER,"22,00","10,00","0,00",Y,
10,QTDMPE,NUMBER,"22,00","5,00","0,00",Y,
,,,"209,00","544,00","0,00",,
